table,model,omega,seed,status,n_rows
paper_replication_mackey_glass.csv,AB-embedded,0.0,45,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,46,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,47,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,48,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,49,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,50,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,51,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,52,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,53,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,54,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,55,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,56,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,57,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,58,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,59,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,60,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,61,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,62,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,63,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,64,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,65,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,66,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,67,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,68,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,69,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,70,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,71,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,72,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,73,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,74,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,75,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,76,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,77,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,78,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,79,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,80,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,81,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,82,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,83,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,84,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,85,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,86,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,87,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,88,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,89,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,90,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,91,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,92,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,93,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,94,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,95,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,96,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,97,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,98,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.0,99,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,0,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,1,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,2,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,3,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,4,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,5,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,6,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,7,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,8,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,9,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,10,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,11,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,12,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,13,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,14,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,15,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,16,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,17,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,18,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,19,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,20,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,21,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,22,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,23,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,24,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,25,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,26,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,27,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,28,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,29,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,30,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,31,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,32,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,33,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,34,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,35,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,36,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,37,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,38,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,39,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,40,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,41,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,42,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,43,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,44,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,45,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,46,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,47,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,48,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,49,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,50,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,51,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,52,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,53,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,54,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,55,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,56,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,57,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,58,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,59,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,60,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,61,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,62,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,63,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,64,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,65,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,66,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,67,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,68,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,69,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,70,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,71,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,72,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,73,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,74,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,75,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,76,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,77,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,78,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,79,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,80,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,81,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,82,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,83,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,84,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,85,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,86,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,87,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,88,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,89,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,90,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,91,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,92,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,93,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,94,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,95,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,96,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,97,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,98,present,1
paper_replication_mackey_glass.csv,AB-embedded,0.5,99,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,0,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,1,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,2,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,3,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,4,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,5,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,6,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,7,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,8,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,9,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,10,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,11,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,12,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,13,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,14,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,15,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,16,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,17,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,18,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,19,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,20,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,21,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,22,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,23,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,24,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,25,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,26,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,27,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,28,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,29,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,30,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,31,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,32,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,33,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,34,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,35,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,36,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,37,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,38,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,39,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,40,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,41,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,42,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,43,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,44,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,45,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,46,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,47,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,48,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,49,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,50,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,51,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,52,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,53,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,54,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,55,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,56,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,57,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,58,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,59,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,60,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,61,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,62,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,63,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,64,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,65,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,66,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,67,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,68,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,69,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,70,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,71,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,72,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,73,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,74,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,75,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,76,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,77,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,78,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,79,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,80,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,81,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,82,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,83,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,84,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,85,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,86,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,87,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,88,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,89,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,90,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,91,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,92,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,93,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,94,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,95,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,96,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,97,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,98,present,1
paper_replication_mackey_glass.csv,AB-embedded,1.0,99,present,1
multiscale_capacities.csv,AB-Markov,,0,present,24
multiscale_capacities.csv,AB-Markov,,1,present,24
multiscale_capacities.csv,AB-Markov,,2,present,24
multiscale_capacities.csv,AB-Markov,,3,present,24
multiscale_capacities.csv,AB-Markov,,4,present,24
multiscale_capacities.csv,AB-Markov,,5,present,24
multiscale_capacities.csv,AB-Markov,,6,present,24
multiscale_capacities.csv,AB-Markov,,7,present,24
multiscale_capacities.csv,AB-Markov,,8,present,24
multiscale_capacities.csv,AB-Markov,,9,present,24
multiscale_capacities.csv,AB-Markov,,10,present,24
multiscale_capacities.csv,AB-Markov,,11,present,24
multiscale_capacities.csv,AB-Markov,,12,present,24
multiscale_capacities.csv,AB-Markov,,13,present,24
multiscale_capacities.csv,AB-Markov,,14,present,24
multiscale_capacities.csv,AB-Markov,,15,present,24
multiscale_capacities.csv,AB-Markov,,16,present,24
multiscale_capacities.csv,AB-Markov,,17,present,24
multiscale_capacities.csv,AB-Markov,,18,present,24
multiscale_capacities.csv,AB-Markov,,19,present,24
multiscale_capacities.csv,AB-embedded,,0,present,24
multiscale_capacities.csv,AB-embedded,,1,present,24
multiscale_capacities.csv,AB-embedded,,2,present,24
multiscale_capacities.csv,AB-embedded,,3,present,24
multiscale_capacities.csv,AB-embedded,,4,present,24
multiscale_capacities.csv,AB-embedded,,5,present,24
multiscale_capacities.csv,AB-embedded,,6,present,24
multiscale_capacities.csv,AB-embedded,,7,present,24
multiscale_capacities.csv,AB-embedded,,8,present,24
multiscale_capacities.csv,AB-embedded,,9,present,24
multiscale_capacities.csv,AB-embedded,,10,present,24
multiscale_capacities.csv,AB-embedded,,11,present,24
multiscale_capacities.csv,AB-embedded,,12,present,24
multiscale_capacities.csv,AB-embedded,,13,present,24
multiscale_capacities.csv,AB-embedded,,14,present,24
multiscale_capacities.csv,AB-embedded,,15,present,24
multiscale_capacities.csv,AB-embedded,,16,present,24
multiscale_capacities.csv,AB-embedded,,17,present,24
multiscale_capacities.csv,AB-embedded,,18,present,24
multiscale_capacities.csv,AB-embedded,,19,present,24
multiscale_capacities.csv,AB-noaux-kraus,,0,present,24
multiscale_capacities.csv,AB-noaux-kraus,,1,present,24
multiscale_capacities.csv,AB-noaux-kraus,,2,present,24
multiscale_capacities.csv,AB-noaux-kraus,,3,present,24
multiscale_capacities.csv,AB-noaux-kraus,,4,present,24
multiscale_capacities.csv,AB-noaux-kraus,,5,present,24
multiscale_capacities.csv,AB-noaux-kraus,,6,present,24
multiscale_capacities.csv,AB-noaux-kraus,,7,present,24
multiscale_capacities.csv,AB-noaux-kraus,,8,present,24
multiscale_capacities.csv,AB-noaux-kraus,,9,present,24
multiscale_capacities.csv,AB-noaux-kraus,,10,present,24
multiscale_capacities.csv,AB-noaux-kraus,,11,present,24
multiscale_capacities.csv,AB-noaux-kraus,,12,present,24
multiscale_capacities.csv,AB-noaux-kraus,,13,present,24
multiscale_capacities.csv,AB-noaux-kraus,,14,present,24
multiscale_capacities.csv,AB-noaux-kraus,,15,present,24
multiscale_capacities.csv,AB-noaux-kraus,,16,present,24
multiscale_capacities.csv,AB-noaux-kraus,,17,present,24
multiscale_capacities.csv,AB-noaux-kraus,,18,present,24
multiscale_capacities.csv,AB-noaux-kraus,,19,present,24
multiscale_capacities.csv,ABC-Markov,,0,present,24
multiscale_capacities.csv,ABC-Markov,,1,present,24
multiscale_capacities.csv,ABC-Markov,,2,present,24
multiscale_capacities.csv,ABC-Markov,,3,present,24
multiscale_capacities.csv,ABC-Markov,,4,present,24
multiscale_capacities.csv,ABC-Markov,,5,present,24
multiscale_capacities.csv,ABC-Markov,,6,present,24
multiscale_capacities.csv,ABC-Markov,,7,present,24
multiscale_capacities.csv,ABC-Markov,,8,present,24
multiscale_capacities.csv,ABC-Markov,,9,present,24
multiscale_capacities.csv,ABC-Markov,,10,present,24
multiscale_capacities.csv,ABC-Markov,,11,present,24
multiscale_capacities.csv,ABC-Markov,,12,present,24
multiscale_capacities.csv,ABC-Markov,,13,present,24
multiscale_capacities.csv,ABC-Markov,,14,present,24
multiscale_capacities.csv,ABC-Markov,,15,present,24
multiscale_capacities.csv,ABC-Markov,,16,present,24
multiscale_capacities.csv,ABC-Markov,,17,present,24
multiscale_capacities.csv,ABC-Markov,,18,present,24
multiscale_capacities.csv,ABC-Markov,,19,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,0,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,1,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,2,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,3,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,4,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,5,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,6,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,7,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,8,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,9,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,10,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,11,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,12,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,13,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,14,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,15,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,16,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,17,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,18,present,24
multiscale_capacities.csv,ABC-embedded-C-off,,19,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,0,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,1,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,2,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,3,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,4,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,5,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,6,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,7,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,8,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,9,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,10,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,11,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,12,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,13,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,14,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,15,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,16,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,17,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,18,present,24
multiscale_capacities.csv,ABC-embedded-hierarchical,,19,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,0,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,1,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,2,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,3,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,4,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,5,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,6,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,7,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,8,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,9,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,10,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,11,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,12,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,13,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,14,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,15,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,16,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,17,present,24
multiscale_capacities.csv,ABC-embedded-parallel,,18,present,24
